reviewId,userName,content,score,thumbsUpCount,at,replyContent,repliedAt,version
3cd291ec-55ee-4265-ad46-0d2380f63d30,Jamalludin Arifin,Sangat Bermanfaat,5,0,2024-08-17T21:21:02,,,4.92.1
56e1f010-0449-4f21-8ee4-4db1887c236e,Anik Sajekti,Baik,5,0,2024-08-17T21:14:36,,,4.92.1
1258eff4-960f-42ea-b6b2-dc5cc0a2026c,iman iman,Mantap,5,0,2024-08-17T21:06:03,,,
2902d676-c249-40a1-9c46-a892f0cdf9c2,Wisnu Tzy,mahal bet ongkirnya,2,0,2024-08-17T21:00:13,"Mohon maaf atas ketidaknyamanannya, Kak Wisnu. Terkait ulasanmu, kami selalu berupaya untuk memberlakukan tarif yang terjangkau bagi seluruh pelanggan agar dapat selalu menjaga kualitas layanan terbaik. Kami harap kamu senantiasa nyaman dalam menggunakan layanan Gojek. Jika ada kendala lain silakan hubungi kami di menu Bantuan. ^Ve",2024-08-17T21:38:51,
c92248db-81fa-47d8-8ea6-4dff03871421,Siska Bela,"Min saya ingin bertanya apakah kalau menggunakan voucher driver tidak mau pick up karna jarak yg jauh.. 17/08/2024 07.15 saya memesan gocar hemat dengan voucher namun ketika mendapatkan driver, driver tidak berkenanan menjemput dengan alasan terlalu jauh titik jemputnya.. saya hingga 3x melakukan cancel order karna driver alasannya begitu semua.. sehingga ketika skrg saya mau cari driver lagi butuh waktu lebih lama dan susah.. untuk bukti ss an chat saya ada.. terimakasih",3,0,2024-08-17T20:57:24,"Hai Kak Siska, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika kamu memiliki pertanyaan atau kendala lainnya, silakan kunjungi menu Bantuan di aplikasi Gojek kamu. ^Ve",2024-08-17T22:36:28,
82546e99-226e-4ed2-8766-7a63fd41865a,Syauqi Asshiddiqie,"Masih bingung beda plus ama reguler , kalo akun reguler lebih banyak promo nya🗿",2,1,2024-08-17T20:42:01,,,4.92.1
41d8ff1d-77a0-4a13-8c8f-db1057025d12,Arif Saputra,kadang masih kurang lengkap aja,5,0,2024-08-17T20:40:27,,,4.92.1
517af48d-35db-497a-a9ed-62475f729df0,Alya Dyaulhaq,"Tolong ganti bahasa Indonesia sama perlihatkan driver dan bisa chat online. Jadi ngga usah sms kan rugi pakai pulsa, padahal bisa chat online kan?  Tolong perbaiki aplikasinya, tidak memuaskan!!!",5,5,2024-08-17T20:19:57,,,4.92.1
42c14d81-9967-4373-937f-1c7deafca741,Hary Hambali,Mantap,5,0,2024-08-17T20:15:20,,,4.39.2
195bd7c3-6e59-4f87-8e18-0c90f5402231,yayan sofyan,ramah dan baik hati,5,0,2024-08-17T20:10:03,,,4.92.1
